age,education-num,capital-gain,capital-loss,hours-per-week,workclass_encoded,education_encoded,marital-status_encoded,occupation_encoded,relationship_encoded,race_encoded,sex_encoded,native-country_encoded,income_encoded
35.0,5,13061.665675340768,1872.8255915863278,40,1,6,2,5,0,2,1,39,0
43.0,7,13061.665675340768,2042.0,40,4,1,2,14,0,4,1,39,0
59.0,9,13061.665675340768,1872.8255915863278,40,4,11,0,13,4,4,0,39,0
56.0,13,13061.665675340768,1872.8255915863278,40,2,9,2,13,0,4,1,39,1
19.0,9,13061.665675340768,1872.8255915863278,40,4,11,4,3,3,4,1,39,0
54.0,10,13061.665675340768,1872.8255915863278,60,0,15,2,0,0,1,1,35,1
39.0,9,13061.665675340768,1872.8255915863278,80,4,11,0,4,1,4,1,39,0
49.0,9,13061.665675340768,1872.8255915863278,40,4,11,2,3,0,4,1,39,0
23.0,12,13061.665675340768,1872.8255915863278,52,2,7,4,11,1,4,1,39,0
20.0,10,13061.665675340768,1872.8255915863278,44,4,15,4,12,3,2,1,39,0
45.0,13,13061.665675340768,1408.0,40,4,9,0,4,3,4,1,39,0
30.0,10,13061.665675340768,1872.8255915863278,40,1,15,2,1,3,4,1,39,0
22.0,10,13061.665675340768,1872.8255915863278,15,7,15,2,8,0,2,1,39,0
48.0,7,13061.665675340768,1872.8255915863278,40,4,1,4,7,4,4,1,33,0
21.0,10,13061.665675340768,1872.8255915863278,40,4,15,4,7,3,4,1,39,0
31.0,10,13061.665675340768,1872.8255915863278,38,4,15,2,12,0,4,1,0,1
48.0,12,13061.665675340768,1872.8255915863278,40,6,7,2,10,0,4,1,39,0
53.0,13,13061.665675340768,1872.8255915863278,40,6,9,2,10,0,4,1,39,0
24.0,13,13061.665675340768,1872.8255915863278,50,4,9,2,13,0,4,1,39,0
49.0,9,13061.665675340768,1872.8255915863278,40,4,11,5,1,4,4,0,39,0
25.0,9,13061.665675340768,1872.8255915863278,35,4,11,4,6,1,4,1,39,0
57.0,13,13061.665675340768,1872.8255915863278,40,1,9,2,10,0,2,1,39,1
53.0,9,13061.665675340768,1872.8255915863278,38,4,11,2,7,0,4,1,39,0
44.0,14,13061.665675340768,1872.8255915863278,40,4,12,0,4,4,4,0,39,0
41.0,11,13061.665675340768,1872.8255915863278,40,7,8,2,3,0,4,1,39,0
29.0,11,13061.665675340768,1872.8255915863278,43,4,8,4,10,1,4,1,39,0
25.0,10,13061.665675340768,1872.8255915863278,40,4,15,2,4,5,3,0,39,0
18.0,9,13061.665675340768,1872.8255915863278,30,4,11,4,8,3,4,0,0,0
47.0,15,13061.665675340768,1902.0,60,4,14,2,10,5,4,0,16,1
50.0,13,13061.665675340768,1872.8255915863278,55,1,9,0,4,1,4,1,39,1
47.0,9,13061.665675340768,1872.8255915863278,60,5,11,0,4,1,4,1,39,0
43.0,10,13061.665675340768,1872.8255915863278,40,4,15,2,13,0,4,1,39,1
46.0,3,13061.665675340768,1872.8255915863278,40,4,4,2,7,0,4,1,26,0
35.0,11,13061.665675340768,1872.8255915863278,40,4,8,2,8,0,4,1,33,0
41.0,9,13061.665675340768,1872.8255915863278,48,4,11,2,1,0,4,1,39,0
30.0,9,5013.0,1872.8255915863278,40,4,11,2,7,0,4,1,39,0
30.0,13,2407.0,1872.8255915863278,40,4,9,2,12,0,4,1,39,0
32.0,4,13061.665675340768,1872.8255915863278,40,0,5,3,0,1,4,1,0,0
48.0,9,13061.665675340768,1872.8255915863278,40,4,11,2,14,0,4,1,39,0
42.0,16,13061.665675340768,1872.8255915863278,45,4,10,2,10,0,4,1,39,1
29.0,10,13061.665675340768,1872.8255915863278,58,4,15,0,13,1,4,1,39,0
36.0,9,13061.665675340768,1872.8255915863278,40,4,11,2,3,0,4,1,39,0
28.0,10,13061.665675340768,1872.8255915863278,40,4,15,0,1,1,4,0,39,0
53.0,9,13061.665675340768,1872.8255915863278,40,4,11,2,1,5,4,0,39,1
49.0,10,13061.665675340768,1872.8255915863278,50,5,15,2,4,0,4,1,39,1
25.0,10,13061.665675340768,1872.8255915863278,40,0,15,4,0,3,4,1,39,0
19.0,10,13061.665675340768,1872.8255915863278,32,4,15,4,10,3,4,1,39,0
31.0,13,13061.665675340768,1872.8255915863278,40,4,9,5,12,3,2,0,39,0
29.0,13,13061.665675340768,1872.8255915863278,70,6,9,2,12,0,4,1,39,1
23.0,10,13061.665675340768,1872.8255915863278,40,4,15,4,7,1,4,1,39,0
38.26489245201149,10,13061.665675340768,1872.8255915863278,20,4,15,2,10,2,4,1,39,0
27.0,9,13061.665675340768,1872.8255915863278,40,4,11,4,8,3,4,1,26,0
40.0,12,13061.665675340768,1872.8255915863278,40,4,7,2,1,0,4,1,39,0
67.0,6,13061.665675340768,1872.8255915863278,2,0,0,2,0,0,4,1,39,0
18.0,7,13061.665675340768,1872.8255915863278,22,4,1,4,8,3,4,0,39,0
31.0,4,13061.665675340768,1872.8255915863278,40,2,5,2,5,0,4,1,39,0
52.0,13,13061.665675340768,1872.8255915863278,40,4,9,2,8,0,4,1,5,0
46.0,9,13061.665675340768,1872.8255915863278,40,4,11,2,8,5,4,0,39,0
59.0,9,13061.665675340768,1872.8255915863278,48,4,11,2,12,0,4,1,39,0
44.0,9,14344.0,1872.8255915863278,40,4,11,0,3,1,4,0,39,1
53.0,9,13061.665675340768,1872.8255915863278,35,4,11,0,12,3,4,0,39,0
49.0,9,13061.665675340768,1872.8255915863278,40,2,11,2,11,0,4,1,39,1
33.0,14,13061.665675340768,1872.8255915863278,50,4,12,2,10,0,4,1,39,0
30.0,5,13061.665675340768,1872.8255915863278,40,4,6,4,12,1,4,1,39,0
43.0,16,13061.665675340768,1872.8255915863278,50,1,10,4,10,1,4,0,39,1
57.0,11,13061.665675340768,1872.8255915863278,40,4,8,2,10,0,4,1,39,0
37.0,10,13061.665675340768,1872.8255915863278,40,4,15,0,3,4,4,0,39,0
28.0,10,13061.665675340768,1872.8255915863278,25,4,15,0,7,4,2,0,39,0
30.0,9,13061.665675340768,1573.0,35,4,11,2,12,5,1,0,0,0
34.0,13,13061.665675340768,1872.8255915863278,40,2,9,2,11,0,4,1,39,1
29.0,10,13061.665675340768,1872.8255915863278,50,2,15,4,6,1,4,1,39,0
48.0,16,13061.665675340768,1902.0,60,6,10,2,10,0,4,1,39,1
37.0,10,13061.665675340768,1872.8255915863278,48,4,15,2,12,0,4,1,39,1
48.0,12,13061.665675340768,1872.8255915863278,40,4,7,0,4,4,4,0,9,0
32.0,9,13061.665675340768,1872.8255915863278,40,1,11,4,8,3,2,1,39,0
38.26489245201149,14,13061.665675340768,1872.8255915863278,40,4,12,2,4,0,4,1,39,1
44.0,13,15024.0,1872.8255915863278,60,4,9,2,4,0,4,1,39,1
47.0,14,13061.665675340768,1872.8255915863278,50,6,12,4,10,1,4,0,39,0
20.0,10,13061.665675340768,1872.8255915863278,40,4,15,4,13,3,4,0,39,0
29.0,9,13061.665675340768,1872.8255915863278,40,4,11,4,3,1,4,1,39,0
32.0,9,7688.0,1872.8255915863278,40,5,11,2,3,0,4,1,39,1
17.0,6,34095.0,1872.8255915863278,32,0,0,4,0,3,4,0,39,0
30.0,7,13061.665675340768,1872.8255915863278,40,4,1,4,6,3,4,1,39,0
31.0,9,13061.665675340768,1872.8255915863278,40,2,11,4,1,1,4,0,39,0
42.0,9,13061.665675340768,1872.8255915863278,40,4,11,2,6,0,4,1,39,0
38.0,15,13061.665675340768,1872.8255915863278,40,4,14,2,10,0,4,1,39,1
56.0,9,13061.665675340768,1887.0,50,6,11,2,8,0,4,1,2,1
28.0,10,4064.0,1872.8255915863278,25,4,15,2,12,5,4,0,39,0
36.0,9,13061.665675340768,1872.8255915863278,40,4,11,4,7,3,4,0,39,0
53.0,5,13061.665675340768,1872.8255915863278,50,4,6,2,6,0,4,1,39,0
56.0,10,13061.665675340768,1872.8255915863278,50,5,15,2,12,0,4,1,39,0
49.0,11,13061.665675340768,1872.8255915863278,40,2,8,2,3,0,2,1,39,1
55.0,10,13061.665675340768,1872.8255915863278,56,4,15,2,12,0,4,1,39,0
22.0,9,13061.665675340768,1872.8255915863278,41,4,11,4,3,1,4,1,39,0
21.0,10,13061.665675340768,1872.8255915863278,40,4,15,4,8,3,4,0,39,0
40.0,13,13061.665675340768,1872.8255915863278,60,4,9,2,4,0,4,1,39,0
30.0,13,13061.665675340768,1872.8255915863278,40,4,9,4,4,3,2,1,11,0
29.0,13,13061.665675340768,1872.8255915863278,50,7,9,2,10,0,4,1,39,1
19.0,10,13061.665675340768,1872.8255915863278,35,4,15,4,8,3,2,1,39,0
47.0,13,13061.665675340768,1872.8255915863278,40,4,9,2,4,5,4,0,39,1
20.0,10,13061.665675340768,1719.0,28,4,15,4,1,3,4,0,39,0
31.0,12,13061.665675340768,1872.8255915863278,40,4,7,2,1,0,4,1,39,1
35.0,9,13061.665675340768,1872.8255915863278,40,0,11,2,0,0,4,1,39,0
39.0,10,13061.665675340768,1872.8255915863278,40,4,15,0,3,1,4,1,39,0
28.0,12,13061.665675340768,1872.8255915863278,60,4,7,4,12,1,4,0,39,0
24.0,9,13061.665675340768,1762.0,40,4,11,4,8,1,4,0,39,0
38.0,9,4386.0,1872.8255915863278,35,6,11,2,3,0,4,1,39,0
37.0,13,13061.665675340768,1872.8255915863278,50,4,9,2,12,0,4,1,39,0
46.0,12,13061.665675340768,1872.8255915863278,36,4,7,0,13,1,2,0,39,0
38.0,14,13061.665675340768,1872.8255915863278,40,1,12,2,10,0,4,1,20,1
43.0,9,13061.665675340768,1872.8255915863278,60,6,11,2,3,0,4,1,39,0
27.0,11,13061.665675340768,1872.8255915863278,35,4,8,2,1,5,4,0,39,0
20.0,10,13061.665675340768,1872.8255915863278,20,4,15,4,12,3,4,1,39,0
49.0,10,13061.665675340768,1872.8255915863278,40,4,15,2,3,0,1,1,39,1
61.0,9,13061.665675340768,1872.8255915863278,40,5,11,2,3,0,4,1,39,0
27.0,10,13061.665675340768,1872.8255915863278,40,4,15,4,12,3,4,0,39,0
19.0,10,13061.665675340768,1872.8255915863278,30,4,15,4,8,3,4,1,26,0
45.0,11,13061.665675340768,1564.0,40,4,8,4,10,1,4,0,39,1
70.0,10,13061.665675340768,1872.8255915863278,40,4,15,4,13,2,4,1,39,0
31.0,9,13061.665675340768,1872.8255915863278,30,4,11,4,14,4,2,0,39,0
22.0,10,13061.665675340768,1872.8255915863278,24,4,15,2,8,0,4,1,39,0
36.0,9,13061.665675340768,1872.8255915863278,24,4,11,6,8,4,4,0,39,0
64.0,7,13061.665675340768,2179.0,40,4,1,2,3,0,4,1,39,0
43.0,10,13061.665675340768,1872.8255915863278,40,0,15,0,0,1,4,0,39,0
47.0,10,13061.665675340768,1872.8255915863278,38,2,15,0,1,4,4,0,26,0
34.0,9,13061.665675340768,1872.8255915863278,40,4,11,4,1,1,4,0,39,0
33.0,13,13061.665675340768,1872.8255915863278,40,4,9,4,4,2,1,0,30,0
21.0,9,13061.665675340768,1872.8255915863278,35,4,11,4,3,3,4,1,39,0
52.0,9,13061.665675340768,1872.8255915863278,45,0,11,0,0,1,4,1,39,1
48.0,9,13061.665675340768,1872.8255915863278,46,4,11,2,3,0,4,1,39,0
23.0,13,13061.665675340768,1872.8255915863278,40,4,9,4,6,1,4,1,39,0
29.0,9,13061.665675340768,1872.8255915863278,60,4,11,0,3,1,4,1,39,0
42.0,13,13061.665675340768,1872.8255915863278,50,4,9,5,8,2,2,1,39,0
68.0,2,13061.665675340768,1872.8255915863278,20,0,3,0,0,1,4,0,39,0
25.0,9,13061.665675340768,1872.8255915863278,40,4,11,4,8,4,4,0,39,0
44.0,14,13061.665675340768,1872.8255915863278,40,5,12,0,4,4,1,0,39,0
28.0,9,13061.665675340768,1872.8255915863278,40,4,11,4,4,1,1,0,9,0
45.0,14,13061.665675340768,1872.8255915863278,40,6,12,2,12,0,4,1,39,1
36.0,10,13061.665675340768,1872.8255915863278,40,4,15,0,8,4,4,0,26,0
39.0,12,13061.665675340768,1872.8255915863278,42,1,7,4,4,1,4,1,39,0
46.0,14,13061.665675340768,1872.8255915863278,40,7,12,6,11,4,4,1,39,0
18.0,7,13061.665675340768,1872.8255915863278,16,4,1,4,6,3,4,1,39,0
66.0,11,13061.665675340768,1872.8255915863278,20,2,8,6,10,1,4,0,39,0
27.0,9,13061.665675340768,1980.0,40,4,11,4,8,1,4,1,39,0
28.0,9,13061.665675340768,1872.8255915863278,40,7,11,2,11,0,4,1,39,0
51.0,10,13061.665675340768,1977.0,40,4,15,2,12,0,4,1,39,1
28.0,13,13061.665675340768,1872.8255915863278,40,7,9,2,10,0,4,1,39,1
27.0,9,13061.665675340768,1872.8255915863278,25,4,11,3,12,4,4,0,39,0
21.0,9,13061.665675340768,1872.8255915863278,40,4,11,4,3,3,2,1,39,0
18.0,9,13061.665675340768,1872.8255915863278,12,4,11,4,8,3,4,1,39,0
33.0,13,13061.665675340768,1872.8255915863278,65,4,9,2,10,0,4,1,39,0
44.0,10,13061.665675340768,1872.8255915863278,38,2,15,2,4,0,2,1,39,1
43.0,10,13061.665675340768,1872.8255915863278,40,4,15,0,1,1,4,0,39,0
40.0,4,13061.665675340768,1872.8255915863278,40,4,5,2,7,0,4,1,26,1
37.0,10,13061.665675340768,1872.8255915863278,42,1,15,2,1,0,4,1,39,1
34.0,9,13061.665675340768,1872.8255915863278,40,4,11,2,1,0,2,1,39,0
41.0,13,13061.665675340768,1872.8255915863278,40,6,9,0,4,1,4,0,39,0
53.0,13,13061.665675340768,1872.8255915863278,50,0,9,0,0,1,4,0,39,0
31.0,14,13061.665675340768,1872.8255915863278,50,4,12,2,10,5,4,0,39,0
58.0,16,13061.665675340768,1872.8255915863278,1,7,10,2,10,0,4,1,39,1
38.0,10,13061.665675340768,1872.8255915863278,28,4,15,0,7,1,2,0,39,0
24.0,10,13061.665675340768,1872.8255915863278,40,4,15,2,7,0,4,1,39,0
47.0,10,13061.665675340768,1872.8255915863278,45,4,15,2,13,0,4,1,39,0
41.0,13,13061.665675340768,1872.8255915863278,24,1,9,2,13,0,4,1,39,0
23.0,3,13061.665675340768,1872.8255915863278,40,4,4,2,14,2,4,1,26,0
36.0,10,13061.665675340768,1872.8255915863278,40,4,15,0,3,1,4,1,39,0
40.0,14,14084.0,1872.8255915863278,55,1,12,4,4,1,4,0,39,1
35.0,14,7298.0,1872.8255915863278,40,4,12,2,10,2,4,1,39,1
24.0,9,13061.665675340768,1872.8255915863278,40,6,11,4,12,1,4,1,39,0
26.0,14,13061.665675340768,1876.0,40,4,12,4,10,1,4,0,39,0
19.0,9,13061.665675340768,1872.8255915863278,40,0,11,4,0,3,4,1,22,0
51.0,13,13061.665675340768,1872.8255915863278,50,4,9,2,4,0,4,1,39,1
42.0,10,13061.665675340768,1340.0,40,2,15,4,10,1,4,0,39,0
37.0,9,13061.665675340768,1872.8255915863278,35,7,11,0,1,4,4,0,39,0
18.0,7,13061.665675340768,1872.8255915863278,40,4,1,4,12,3,4,0,39,0
36.0,13,7298.0,1872.8255915863278,36,4,9,2,8,0,2,1,39,1
35.0,9,13061.665675340768,1872.8255915863278,60,4,11,0,3,1,4,1,39,0
58.0,9,15024.0,1872.8255915863278,35,5,11,2,12,5,4,0,39,1
17.0,7,13061.665675340768,1872.8255915863278,12,4,1,4,12,3,4,0,39,0
44.0,9,13061.665675340768,1872.8255915863278,40,2,11,2,14,0,2,1,39,0
37.0,9,13061.665675340768,1872.8255915863278,40,4,11,2,3,0,4,1,39,1
35.0,10,13061.665675340768,1872.8255915863278,40,4,15,4,12,1,0,0,39,0
60.0,9,13061.665675340768,1872.8255915863278,40,4,11,2,3,0,1,1,39,0
54.0,4,13061.665675340768,1872.8255915863278,40,5,5,2,7,0,4,1,39,1
50.0,12,13061.665675340768,1872.8255915863278,40,4,7,0,12,1,4,0,39,0
38.0,13,13061.665675340768,1872.8255915863278,50,4,9,2,12,0,4,1,31,0
45.0,13,13061.665675340768,1872.8255915863278,55,4,9,2,10,0,4,1,39,0
25.0,6,13061.665675340768,1872.8255915863278,40,4,0,4,3,1,4,1,39,0
31.0,10,13061.665675340768,1872.8255915863278,40,4,15,2,6,0,4,1,39,0
64.0,2,13061.665675340768,1872.8255915863278,40,0,3,0,0,1,4,1,39,0
38.26489245201149,9,13061.665675340768,2206.0,40,4,11,4,8,1,2,1,39,0
54.0,9,13061.665675340768,1872.8255915863278,20,4,11,2,1,0,2,1,39,0
53.0,1,13061.665675340768,1872.8255915863278,35,2,13,4,7,1,4,0,39,0
18.0,9,13061.665675340768,1872.8255915863278,40,4,11,4,12,3,4,0,39,0
60.0,6,13061.665675340768,1872.8255915863278,10,0,0,0,0,1,0,0,39,0
66.0,9,1409.0,1872.8255915863278,50,6,11,2,5,0,4,1,39,0
75.0,11,13061.665675340768,1872.8255915863278,20,4,8,6,1,1,4,0,4,0
65.0,9,13061.665675340768,1872.8255915863278,40,4,11,0,1,1,4,0,39,0
41.0,9,13061.665675340768,1872.8255915863278,38,4,11,0,12,4,2,0,39,0
25.0,10,13061.665675340768,1872.8255915863278,42,4,15,4,1,1,4,1,39,0
33.0,10,13061.665675340768,1872.8255915863278,40,4,15,0,3,2,3,0,39,0
28.0,15,13061.665675340768,1872.8255915863278,55,4,14,4,10,1,4,1,39,1
59.0,9,13061.665675340768,1872.8255915863278,40,7,11,2,8,0,4,1,39,0
40.0,10,13061.665675340768,1872.8255915863278,38,7,15,4,1,1,4,0,39,0
41.0,13,13061.665675340768,1872.8255915863278,50,4,9,2,4,0,4,1,20,1
38.0,14,13061.665675340768,1872.8255915863278,70,2,12,2,4,0,4,1,39,1
23.0,9,13061.665675340768,1872.8255915863278,40,4,11,4,14,3,4,1,39,0
40.0,13,13061.665675340768,1872.8255915863278,40,4,9,2,10,0,4,1,39,1
41.0,9,13061.665675340768,1872.8255915863278,20,6,11,2,8,5,4,0,39,0
24.0,12,13061.665675340768,1872.8255915863278,50,7,7,2,11,0,4,1,39,0
20.0,10,13061.665675340768,1872.8255915863278,20,0,15,4,0,3,4,1,39,0
38.0,10,13061.665675340768,1741.0,40,4,15,0,3,1,4,1,39,0
56.0,9,13061.665675340768,1872.8255915863278,35,4,11,2,1,0,4,1,0,0
58.0,9,13061.665675340768,1872.8255915863278,45,4,11,2,1,0,4,1,39,1
32.0,9,13061.665675340768,1872.8255915863278,34,4,11,4,8,1,4,0,39,0
40.0,12,13061.665675340768,1977.0,60,4,7,2,13,0,4,1,39,1
45.0,9,13061.665675340768,1872.8255915863278,40,4,11,2,1,0,4,1,0,0
41.0,15,13061.665675340768,1872.8255915863278,40,4,14,2,10,5,4,0,39,1
42.0,13,13061.665675340768,1872.8255915863278,40,4,9,2,1,5,2,0,39,0
59.0,6,13061.665675340768,1872.8255915863278,30,2,0,6,8,4,2,0,39,0
19.0,10,13061.665675340768,1872.8255915863278,40,2,15,4,1,3,4,1,39,0
58.0,10,13061.665675340768,1872.8255915863278,20,4,15,4,14,1,4,1,39,0
42.0,9,13061.665675340768,1872.8255915863278,40,6,11,2,5,0,1,1,1,1
20.0,9,13061.665675340768,1872.8255915863278,40,4,11,4,8,3,4,0,39,0
32.0,9,13061.665675340768,1872.8255915863278,30,4,11,5,8,1,4,0,39,0
45.0,11,13061.665675340768,1872.8255915863278,45,4,8,6,4,1,4,0,39,0
50.0,4,13061.665675340768,1872.8255915863278,40,4,5,0,3,1,4,1,39,0
36.0,13,13061.665675340768,1872.8255915863278,40,4,9,0,10,3,4,0,39,0
45.0,9,13061.665675340768,1872.8255915863278,60,4,11,2,12,0,4,1,39,0
17.0,7,13061.665675340768,1872.8255915863278,12,4,1,4,8,3,4,1,39,0
59.0,10,4064.0,1872.8255915863278,40,4,15,2,12,0,4,1,39,0
26.0,7,13061.665675340768,1872.8255915863278,40,4,1,2,3,0,4,1,39,0
37.0,10,13061.665675340768,1872.8255915863278,75,5,15,2,4,0,1,1,37,1
19.0,10,13061.665675340768,1872.8255915863278,24,0,15,4,0,3,4,1,2,0
64.0,9,13061.665675340768,1872.8255915863278,40,4,11,2,4,0,4,1,39,1
33.0,13,13061.665675340768,1872.8255915863278,45,4,9,4,10,1,4,0,39,0
33.0,9,13061.665675340768,1872.8255915863278,40,4,11,2,3,5,4,0,39,1
61.0,9,13061.665675340768,1872.8255915863278,40,4,11,2,4,0,4,1,39,1
17.0,5,1055.0,1872.8255915863278,24,4,6,4,8,3,4,1,39,0
50.0,14,2407.0,1872.8255915863278,98,6,12,2,5,0,4,1,39,0
27.0,14,13061.665675340768,1872.8255915863278,35,2,12,4,10,3,4,1,39,0
30.0,9,13061.665675340768,1872.8255915863278,40,4,11,0,10,3,4,0,39,0
44.0,10,7298.0,1872.8255915863278,40,4,15,2,3,0,4,1,39,1
35.0,10,13061.665675340768,1872.8255915863278,40,4,15,4,4,1,4,0,39,0
25.0,10,13061.665675340768,1872.8255915863278,40,4,15,4,13,3,4,0,39,0
24.0,10,7298.0,1872.8255915863278,48,4,15,2,7,5,4,0,39,1
22.0,13,13061.665675340768,1872.8255915863278,15,4,9,4,10,1,4,0,11,0
42.0,10,5178.0,1872.8255915863278,40,2,15,2,3,0,4,1,39,1
34.0,12,13061.665675340768,1872.8255915863278,45,4,7,0,12,4,2,0,39,0
60.0,13,13061.665675340768,1872.8255915863278,42,4,9,0,10,1,4,0,39,0
21.0,9,13061.665675340768,1872.8255915863278,40,4,11,4,6,3,4,1,39,0
41.0,15,13061.665675340768,1872.8255915863278,60,4,14,2,10,0,4,1,39,1
50.0,10,13061.665675340768,1872.8255915863278,45,4,15,0,8,1,4,1,39,0
25.0,13,13061.665675340768,1872.8255915863278,40,4,9,4,4,1,4,0,39,0
50.0,4,13061.665675340768,1872.8255915863278,40,4,5,2,3,0,4,1,7,0
36.0,13,13061.665675340768,1872.8255915863278,45,4,9,2,10,0,4,1,39,0
31.0,9,13061.665675340768,1872.8255915863278,40,4,11,0,10,1,4,0,39,0
29.0,13,13061.665675340768,1872.8255915863278,56,2,9,4,11,1,4,1,39,0
21.0,10,13061.665675340768,1872.8255915863278,45,4,15,4,12,3,4,1,39,0
27.0,13,13061.665675340768,1872.8255915863278,40,4,9,4,13,4,2,0,39,0
65.0,9,13061.665675340768,1872.8255915863278,16,4,11,2,14,0,4,1,39,0
37.0,13,13061.665675340768,1872.8255915863278,60,5,9,0,12,1,4,0,39,0
39.0,14,3464.0,1872.8255915863278,40,0,12,2,0,5,1,0,0,0
24.0,9,13061.665675340768,1872.8255915863278,40,4,11,4,3,3,4,1,39,0
38.0,9,13061.665675340768,1872.8255915863278,80,4,11,0,12,1,4,1,39,0
48.0,13,7688.0,1872.8255915863278,40,4,9,2,1,0,4,1,39,1
21.0,10,13061.665675340768,1872.8255915863278,25,4,15,4,8,1,1,0,39,0
31.0,9,13061.665675340768,1872.8255915863278,45,4,11,2,14,0,4,1,39,1
55.0,9,4386.0,1872.8255915863278,40,4,11,2,12,0,4,1,39,1
24.0,10,13061.665675340768,1872.8255915863278,40,4,15,2,1,5,1,0,25,0
43.0,9,13061.665675340768,1872.8255915863278,40,4,11,0,1,1,4,0,39,0
26.0,12,13061.665675340768,1872.8255915863278,45,4,7,4,13,1,4,1,39,0
46.0,12,13061.665675340768,1872.8255915863278,33,4,7,4,10,1,4,0,39,0
35.0,12,13061.665675340768,1872.8255915863278,40,4,7,2,1,0,4,1,39,1
41.0,10,13061.665675340768,1872.8255915863278,54,5,15,2,5,0,4,1,39,1
26.0,13,13061.665675340768,1872.8255915863278,40,4,9,4,12,1,4,1,39,0
34.0,14,7298.0,1872.8255915863278,35,4,12,2,4,0,1,1,36,1
36.0,13,13061.665675340768,1872.8255915863278,40,6,9,0,10,1,2,0,39,1
22.0,10,13061.665675340768,1872.8255915863278,15,4,15,4,12,3,4,1,39,0
24.0,10,13061.665675340768,1872.8255915863278,40,4,15,4,7,1,4,1,39,0
38.26489245201149,10,13061.665675340768,1872.8255915863278,40,6,15,2,12,0,4,1,39,0
22.0,3,13061.665675340768,1872.8255915863278,40,4,4,2,7,2,4,0,26,0
62.0,9,13061.665675340768,1872.8255915863278,24,4,11,6,8,1,4,0,39,0
39.0,9,13061.665675340768,1872.8255915863278,40,6,11,2,4,0,4,1,39,0
43.0,10,13061.665675340768,1485.0,50,4,15,2,3,0,4,1,39,0
35.0,9,13061.665675340768,1872.8255915863278,45,4,11,0,14,1,4,1,39,0
29.0,7,13061.665675340768,1872.8255915863278,40,4,1,4,4,1,4,0,39,0
38.26489245201149,14,13061.665675340768,1872.8255915863278,10,6,12,2,3,0,4,1,39,0
63.0,9,13061.665675340768,1872.8255915863278,45,6,11,2,5,0,4,1,39,0
23.0,11,13061.665675340768,1872.8255915863278,15,0,8,4,0,3,2,0,39,0
43.0,10,13061.665675340768,1887.0,50,4,15,2,10,5,4,0,39,1
58.0,9,13061.665675340768,1872.8255915863278,40,6,11,2,6,0,4,1,39,0
66.0,9,2050.0,1872.8255915863278,55,4,11,4,14,1,4,1,39,0
41.0,10,13061.665675340768,1872.8255915863278,45,4,15,4,3,1,2,1,39,0
26.0,13,13061.665675340768,1872.8255915863278,40,4,9,4,1,1,4,1,39,0
47.0,11,13061.665675340768,1872.8255915863278,40,4,8,4,8,1,4,1,39,0
55.0,6,13061.665675340768,1872.8255915863278,40,2,0,2,1,0,4,1,39,0
53.0,9,13061.665675340768,1872.8255915863278,40,4,11,2,14,0,4,1,39,0
17.0,3,13061.665675340768,1872.8255915863278,48,4,4,4,8,2,4,1,26,0
30.0,9,13061.665675340768,1872.8255915863278,40,4,11,4,3,2,4,1,39,0
49.0,14,13061.665675340768,1872.8255915863278,60,4,12,4,10,1,4,1,39,0
19.0,9,13061.665675340768,1872.8255915863278,30,4,11,4,12,4,2,1,14,0
